race_id,year,date,race_name,track,grade,surface,distance,url
2014_hjf2014,2014,12/14（日）,阪神ジュベナイルＦ,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2014.html
2014_daishogai2014,2014,12/20（土）,中山大障害,中山,G1,Obstacle,4100,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2014.html
2014_afs2014,2014,12/21（日）,朝日杯フューチュリティＳ,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2014.html
2014_arima2014,2014,12/28（日）,有馬記念,中山,G1,Turf,2500,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2014.html
2015_feb2015,2015,2/22（日）,フェブラリーＳ,東京,G1,Dirt,1600,https://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2015.html
2015_takamatsu2015,2015,3/29（日）,高松宮記念,中京,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2015.html
2015_ouka2015,2015,4/12（日）,桜花賞,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2015.html
2015_ngj2015,2015,4/18（土）,中山グランドジャンプ,中山,G1,Obstacle,4250,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2015.html
2015_satsuki2015,2015,4/19（日）,皐月賞,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2015.html
2015_haruten2015,2015,5/3（祝・日）,天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2015.html
2015_nmc2015,2015,5/10（日）,ＮＨＫマイルＣ,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2015.html
2015_victoria2015,2015,5/17（日）,ヴィクトリアマイル,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2015.html
2015_oaks2015,2015,5/24（日）,オークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2015.html
2015_derby2015,2015,5/31（日）,日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2015.html
2015_yasuda2015,2015,6/7（日）,安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2015.html
2015_takara2015,2015,6/28（日）,宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2015.html
2015_sprint2015,2015,10/4（日）,スプリンターズＳ,中山,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2015.html
2015_shuka2015,2015,10/18（日）,秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2015.html
2015_kikka2015,2015,10/25（日）,菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2015.html
2015_akiten2015,2015,11/1（日）,天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2015.html
2015_eliza2015,2015,11/15（日）,エリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2015.html
2015_mile2015,2015,11/22（日）,マイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2015.html
2015_jc2015,2015,11/29（日）,ジャパンＣ,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2015.html
2015_jcd2015,2015,12/6（日）,チャンピオンズＣ,中京,G1,Dirt,1800,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2015.html
2015_hjf2015,2015,12/13（日）,阪神ジュベナイルＦ,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2015.html
2015_afs2015,2015,12/20（日）,朝日杯フューチュリティＳ,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2015.html
2015_daishogai2015,2015,12/26（土）,中山大障害,中山,G1,Obstacle,4100,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2015.html
2015_arima2015,2015,12/27（日）,有馬記念,中山,G1,Turf,2500,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2015.html
2017_feb2017,2017,2月19日日曜,GⅠフェブラリーS,東京,G1,Dirt,1600,https://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2017.html
2017_takamatsu2017,2017,3月26日日曜,GⅠ高松宮記念,中京,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2017.html
2017_osaka2017,2017,4月2日日曜,GⅠ大阪杯,阪神,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2017.html
2017_ouka2017,2017,4月9日日曜,GⅠ桜花賞,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2017.html
2017_ngj2017,2017,4月15日土曜,J・GⅠ中山グランドジャンプ,中山,G1,Obstacle,4250,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2017.html
