horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
0000990975,グロリアスノア,0000372825,プリサイスエンド(USA),0000305603,ラヴロバリー,0000361855,エンドスウィープ(USA),0000333874,ジェイドロバリー(USA)
0001208666,グローリーヴェイズ,0000742976,ディープインパクト,0001095928,メジロツボネ,0000333862,サンデーサイレンス(USA),0000375505,スウェプトオーヴァーボード(USA)
0001109939,ケイアイエレガント,0000729458,キングカメハメハ,0000768867,ポストパレード(USA),0000347989,Kingmambo(USA),0000339653,A.P. Indy(USA)
0001205873,ケイアイノーテック,0000742976,ディープインパクト,0001000714,ケイアイガーベラ,0000333862,サンデーサイレンス(USA),0000879370,Smarty Jones(USA)
0001173259,ケイティブレイブ,0000620083,アドマイヤマックス,0000993360,ケイティローレル,0000333862,サンデーサイレンス(USA),0000243723,サクラローレル
0001219585,ケイデンスコール,0001089850,ロードカナロア,0001087570,インダクティ,0000729458,キングカメハメハ,0000722158,ハーツクライ
0001168835,ケンホファヴァルト,0000256512,マーベラスサンデー,0000714151,エイシンパンジー,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0000876894,ケープオブグッドホープ,0000347623,Inchinor(GB),0000876895,Cape Merino(GB),0000336322,Ahonoora(GB),0000343986,Clantime(GB)
0000760208,コイウタ,0000262443,フジキセキ,0000316274,ヴァイオレットラブ,0000333862,サンデーサイレンス(USA),0000225905,ドクターデヴィアス(IRE)
0000325078,コイントス,0000333862,サンデーサイレンス(USA),0000404924,レトス(ARG),0000335154,Halo(USA),0000339684,Egg Toss(USA)
0001149606,ココロノアイ,0000286968,ステイゴールド,0000313438,ビューティソング,0000333862,サンデーサイレンス(USA),0000337424,デインヒル(USA)
0000730985,コスモサンビーム,0000333902,ザグレブ(USA),0000383797,ロビースレインボウ(GB),0000337450,Theatrical(IRE),0000337286,Rainbow Quest(USA)
0001041849,コスモセンサー,0000729458,キングカメハメハ,0000269134,ケイアイバラード,0000347989,Kingmambo(USA),0000333821,リヴリア(USA)
0001089745,コスモソユーズ,0000848478,ロージズインメイ(USA),0000307396,ギンガノユメ,0000339820,Devil His Due(USA),0000140567,シンボリルドルフ
0000722619,コスモバルク,0000333902,ザグレブ(USA),0000268513,イセノトウショウ,0000337450,Theatrical(IRE),0000061253,トウシヨウボーイ
0001205596,コズミックフォース,0000729458,キングカメハメハ,0000994222,ミクロコスモス,0000347989,Kingmambo(USA),0000701577,ネオユニヴァース
0001090349,コティリオン,0000742976,ディープインパクト,0000316372,ジェミードレス,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0001120116,コディーノ,0000729458,キングカメハメハ,0000325217,ハッピーパス,0000347989,Kingmambo(USA),0000333862,サンデーサイレンス(USA)
0001121332,コパノリチャード,0000725485,ダイワメジャー,0000615134,ヒガシリンクス,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0001123166,コパノリッキー,0000619768,ゴールドアリュール,0000727233,コパノニキータ,0000333862,サンデーサイレンス(USA),0000333901,ティンバーカントリー(USA)
0000724433,コンコルディア,0000262443,フジキセキ,0000247108,コンクラーベ,0000333862,サンデーサイレンス(USA),0000098122,アンバーシヤダイ
0000852736,コンゴウリキシオー,0000369639,ストラヴィンスキー(USA),0000442818,プリンシピウム(USA),0000336085,Nureyev(USA),0000340595,ハンセル(USA)
