race_id,horse_name,horse_id,position,finish_time,jockey,trainer,weight,odds,horse_weight,age,sex,passing_positions,margin
2002_中山_フラワーＣ,コンプリートアゲン,0000620350,14,1:52.0,菊沢隆徳,萱野浩二,53.0kg,15.0,452Kg(-10),3.0,牝,,３馬身
2002_中山_フラワーＣ,メジロフリーマン,0000619695,99,,郷原洋司,柴田政人,53.0kg,9.0,410Kg(-6),3.0,牝,,
2002_中山_スプリングＳ,タニノギムレット,0000611525,1,1:46.9,四位洋文,松田国英,56.0kg,1.0,482Kg(0),3.0,牡,,
2002_中山_スプリングＳ,テレグノシス,0000619930,2,1:46.9,勝浦正樹,杉浦宏昭,56.0kg,8.0,462Kg(-2),3.0,牡,,クビ
2002_中山_スプリングＳ,アグネスソニック,0000626086,3,1:47.3,蛯名正義,森秀行,56.0kg,4.0,488Kg(+2),3.0,牡,,２ 1/2馬身
2002_中山_スプリングＳ,ホーマンウイナー,0000613356,4,1:47.3,幸英明,安田隆行,56.0kg,11.0,428Kg(+4),3.0,牡,,クビ
2002_中山_スプリングＳ,セイコーアカデミー,0000620068,5,1:47.4,柴田善臣,鈴木康弘,56.0kg,6.0,442Kg(-2),3.0,牡,,１／２馬身
2002_中山_スプリングＳ,ローエングリン,0000619817,6,1:47.6,横山典弘,伊藤正徳,56.0kg,2.0,478Kg(+4),3.0,牡,,１馬身
2002_中山_スプリングＳ,メガスターダム,0000620315,7,1:47.8,松永幹夫,山本正司,56.0kg,5.0,494Kg(+2),3.0,牡,,１ 1/2馬身
2002_中山_スプリングＳ,マイネルリバティー,0000613134,8,1:47.9,梶晃啓,稲葉隆一,56.0kg,10.0,496Kg(-4),3.0,牡,,クビ
2002_中山_スプリングＳ,ダディーズドリーム,0000619979,9,1:47.9,安田康彦,松田博資,56.0kg,12.0,452Kg(-4),3.0,牡,,ハナ
2002_中山_スプリングＳ,サードニックス,0000008285,10,1:48.1,吉田豊,高橋裕,56.0kg,7.0,486Kg(+8),3.0,牡,,１ 1/4馬身
2002_中山_スプリングＳ,サダムブルースカイ,0000611678,11,1:48.3,田中勝春,中村均,56.0kg,13.0,492Kg(-6),3.0,牡,,１ 1/4馬身
2002_中山_スプリングＳ,タイムレスワールド,0000611916,12,1:48.3,石崎隆之,鈴木伸尋,56.0kg,9.0,440Kg(-4),3.0,牡,,クビ
2002_中山_スプリングＳ,ボールドブライアン,0000611919,13,1:48.5,岡部幸雄,藤沢和雄,56.0kg,3.0,488Kg(0),3.0,牡,,１ 1/4馬身
2002_中山_スプリングＳ,ウイングブライアン,0000612252,14,1:48.7,江田照男,南井克巳,56.0kg,14.0,474Kg(-6),3.0,牡,,１ 1/4馬身
2002_中山_スプリングＳ,メモリーブロンコ,0000615154,15,1:49.1,水野貴史,川嶋弘吉,56.0kg,16.0,476Kg(-4),3.0,牡,,２ 1/2馬身
2002_中山_スプリングＳ,セピアメモリー,0000704086,16,1:50.7,Ｂ．ドイル,後藤由之,56.0kg,15.0,470Kg(-2),3.0,牡,,１０馬身
2002_阪神_阪神大賞典,ナリタトップロード,0000304230,1,3:07.9,渡辺薫彦,沖芳夫,59.0kg,1.0,498Kg(-2),6.0,牡,,
2002_阪神_阪神大賞典,ジャングルポケット,0000325200,2,3:08.2,小牧太,渡辺栄,58.0kg,2.0,478Kg(+8),4.0,牡,,２馬身
2002_阪神_阪神大賞典,エリモブライアン,0000312881,3,3:08.2,藤田伸二,清水出美,58.0kg,3.0,488Kg(-12),5.0,牡,,アタマ
2002_阪神_阪神大賞典,ミツアキサイレンス,0000318703,4,3:08.2,川原正一,粟津豊彦,58.0kg,8.0,494Kg(0),5.0,牡,,ハナ
2002_阪神_阪神大賞典,ボーンキング,0000325218,5,3:08.3,安藤勝己,松田国英,56.0kg,4.0,506Kg(0),4.0,牡,,クビ
2002_阪神_阪神大賞典,アドマイヤロード,0000325233,6,3:08.5,福永祐一,橋田満,56.0kg,6.0,448Kg(-2),4.0,牡,,１ 1/4馬身
2002_阪神_阪神大賞典,トシザブイ,0000301872,7,3:08.8,河内洋,音無秀孝,57.0kg,7.0,490Kg(+8),6.0,牡,,１ 3/4馬身
2002_阪神_阪神大賞典,キングザファクト,0000321249,8,3:08.9,後藤浩輝,谷潔,57.0kg,5.0,478Kg(+6),5.0,牡,,１／２馬身
2002_阪神_阪神大賞典,アリシバキング,0000323718,9,3:09.2,吉田稔,吉岡八郎,56.0kg,9.0,474Kg(0),4.0,牡,,１ 3/4馬身
2002_中山_日経賞,アクティブバイオ,0000318808,1,2:37.0,後藤浩輝,崎山博樹,57.0kg,5.0,488Kg(-8),5.0,牡,,
2002_中山_日経賞,タップダンスシチー,0000321156,2,2:37.0,勝浦正樹,佐々木晶三,57.0kg,3.0,500Kg(-6),5.0,牡,,アタマ
2002_中山_日経賞,コイントス,0000325078,3,2:37.0,横山典弘,藤沢和雄,56.0kg,4.0,530Kg(+10),4.0,牡,,ハナ
2002_中山_日経賞,トーホウシデン,0000317415,4,2:37.2,田中勝春,田中清隆,57.0kg,6.0,416Kg(-10),5.0,牡,,１ 1/4馬身
2002_中山_日経賞,ハッピーパス,0000325217,5,2:37.2,岡部幸雄,藤沢和雄,54.0kg,8.0,452Kg(+10),4.0,牝,,ハナ
2002_中山_日経賞,マンハッタンカフェ,0000324971,6,2:37.5,蛯名正義,小島太,58.0kg,1.0,510Kg(+6),4.0,牡,,２馬身
2002_中山_日経賞,ロードフォレスター,0000620553,7,2:37.5,江田照男,大江原哲,56.0kg,2.0,502Kg(0),4.0,牡,,クビ
2002_中山_日経賞,ペインテドブラック,0000308947,8,2:37.8,二本柳壮,鈴木康弘,58.0kg,7.0,486Kg(-6),6.0,牡,,１ 3/4馬身
2002_阪神_毎日杯,チアズシュタルク,0000620418,1,2:02.2,藤田伸二,山内研二,57.0kg,1.0,466Kg(+2),3.0,牡,,
2002_阪神_毎日杯,ダイタクフラッグ,0000613503,2,2:02.5,松永幹夫,鹿戸明,55.0kg,13.0,494Kg(+10),3.0,牡,,１ 3/4馬身
2002_阪神_毎日杯,ゼンノカルナック,0000618103,3,2:02.5,福永祐一,北橋修二,55.0kg,7.0,446Kg(0),3.0,牡,,ハナ
2002_阪神_毎日杯,セヴンスバード,0000620137,4,2:02.5,吉田豊,大久保洋吉,55.0kg,4.0,466Kg(-6),3.0,牡,,クビ
