horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
02-07,02-07,,,,,,,,
02-11,02-11,,,,,,,,
0001139330,Nishinomichishirube,0000287925,Taikishatoru(Usa),0000753633,Nishinomirai,0000337092,Devil'S Bag(Usa),0000297806,Seiunsukai
0000620217,Nishinomuunraito,0000336499,Diesis(Gb),0000384215,Rimenbaamiddonaito(Usa),0000336086,Sharpen Up(Gb),0000335907,Cure The Blues(Usa)
0001047451,Nishinomeigetsu,0000619835,Deyurandaru,0000620217,Nishinomuunraito,0000333862,Sandeesairensu(Usa),0000336499,Diesis(Gb)
0001050059,Nishinomoretta,0000287925,Taikishatoru(Usa),0000794748,Misutorasuto(Usa),0000337092,Devil'S Bag(Usa),0000342649,Nashwan(Usa)
0001125651,Nishinomonkusu,0000611525,Taninogimuretto,0000804022,Paapurusutokku,0000333844,Buraianzutaimu(Usa),0000362799,Furenchidepyutei(Usa)
0001153357,Nishinorasshu,0000225628,Sakurabakushin'Oo,0000743721,Kyassuruburaun(Usa),0000145106,Sakurayutakaoo,0000336890,Silver Hawk(Usa)
0000759525,Nishinorodorigesu,0000324933,Agunesutakion,0000308511,Nishinodisenshii,0000333862,Sandeesairensu(Usa),0000336085,Nureyev(Usa)
0001089488,Nijiburuumu,0000274883,Dansuinzadaaku,0000303395,Tayasuburuumu,0000333862,Sandeesairensu(Usa),0000336202,Caerleon(Usa)
0000325324,Nichidoumajikku,0000340556,Joriizuheiroo(Usa),0000422618,Shaapuefooto(Usa),0000335154,Halo(Usa),0000336568,Capote(Usa)
0001047144,Nichidouruchiru,0000626942,Faruburavu(Ire),0000617585,Nichidoujoriizu,0000337427,Fairy King(Usa),0000340556,Joriizuheiroo(Usa)
0000724858,Nichirinkotobuki,0000243723,Sakurarooreru,0000266861,Sanraito,0000337286,Rainbow Quest(Usa),0000069360,Maruzensukii
0000885578,Nikkubaiefuoo,0000304230,Naritatoppuroodo,0000292873,Besutomarii,0000179021,Satsukaabooi,0000340413,Shanhai(Usa)
0000321405,Nikkurufezaa,0000336869,Lear Fan(Usa),0000408504,Nickle Lady(Usa),0000335167,Roberto(Usa),0000335913,Plugged Nickle(Usa)
0000730823,Nisshingurin,0000263178,Pirusadosukii(Ire),0000383453,Rediimu(Usa),0000342688,Polish Precedent(Usa),0000336177,Storm Bird(Can)
0001149592,Nittousubaru,0000898530,Footeinainaazusan(Usa),0000313220,Eishinsaametto,0000365171,Distorted Humor(Usa),0000268975,Eishinsandi
0000281571,Nippooatorasu,0000333873,Maakuobudisuteinkushon(Gb),0000209556,Guriinhirukei,0000335911,Known Fact(Usa),0000145106,Sakurayutakaoo
0001049689,Nihonpiroawaazu,0000237704,Howaitomazuru(Gb),0000739151,Nihonpirorupinasu,0000336853,Danshingubureevu(Usa),0000309184,Adomaiyabega
0001140225,Nihonpiroanbaa,0000375505,Suueputooovaaboodo(Usa),0000798996,Nihonpiroemirii,0000361855,Endosuuiipu(Usa),0000337848,Dehia(Usa)
0000885482,Nihonpirokiribasu,0000359332,Towainingu(Usa),0000291458,Nihonpiroteito,0000337550,Footeinainaa(Usa),0000333862,Sandeesairensu(Usa)
0000727229,Nihonpirokiisu,0000166681,Tamamokurosu,0000229548,Nihonpiroporiina,0000082169,Shiibiikurosu,0000129863,Nihonpirouinaa
0000327026,Nihonpirosaato,0000214562,Sutaaobukojiin(Usa),0000229548,Nihonpiroporiina,0000337423,Cozzene(Usa),0000129863,Nihonpirouinaa
0000732969,Nihonpirozapurau,0000369797,Ueioburaito(Usa),0000291458,Nihonpiroteito,0000337445,Woodman(Usa),0000333862,Sandeesairensu(Usa)
0000803534,Nihonpiroshierii,0000309184,Adomaiyabega,0000304221,Nihonpirosuteeji,0000333862,Sandeesairensu(Usa),0000140567,Shinborirudorufu
0001207015,Nihonpirotaido,0000722797,Burakkutaido,0001089608,Nihonpiroviita,0000333862,Sandeesairensu(Usa),0001039506,Sunittsueru(Aus)
0000318605,Nihonpironiiru,0000333862,Sandeesairensu(Usa),0000383905,Mirukarento(Usa),0000335154,Halo(Usa),0000335152,Little Current(Usa)
0000303147,Nihonpirohaaree,0000333882,Seresuteiarusutoomu(Usa),0000181122,Nihonpiroerisu,0000335167,Roberto(Usa),0000333667,Taagowaisu(Usa)
0001125518,Nihonpirobaron,0000759656,Fusaichirishaaru,0000801314,Nihonpiroanika,0000615577,Kurofune(Usa),0000372848,Kyaputensuteiivu(Usa)
0000761952,Nihonpirofaibu,0000333862,Sandeesairensu(Usa),0000383905,Mirukarento(Usa),0000335154,Halo(Usa),0000335152,Little Current(Usa)
