race_id,year,date,race_name,track,grade,grade_weight,surface,distance,going,weather,num_runners,url
2010_東京_ＮＨＫマイルＣ,2010,5/9（日）,NHK Mile Cup,Tokyo,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2010.html
2010_東京_京王杯スプリングＣ,2010,5/15（土）,京王杯スプリングＣ,Tokyo,,0.0,Turf,1400,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/047.html
2010_京都_京都ハイジャンプ,2010,5/15（土）,京都ハイジャンプ,Kyoto,,0.0,,3930,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/048.html
2010_東京_ヴィクトリアマイル,2010,5/16（日）,ヴィクトリアマイル,Tokyo,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2010.html
2010_東京_オークス,2010,5/23（日）,Yushun Himba (Japanese Oaks),Tokyo,,0.0,Turf,2400,,,18,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2010.html
2010_京都_東海Ｓ,2010,5/23（日）,東海Ｓ,Kyoto,,0.0,,1900,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/049.html
2010_京都_金鯱賞,2010,5/29（土）,金鯱賞,Kyoto,,0.0,Turf,2000,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/050.html
2010_東京_日本ダービー,2010,5/30（日）,Tokyo Yushun (Japanese Derby),Tokyo,,0.0,Turf,2400,,,18,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2010.html
2010_東京_目黒記念,2010,5/30（日）,目黒記念,Tokyo,,0.0,Turf,2500,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/051.html
2010_東京_安田記念,2010,6/6（日）,Yasuda Kinen,Tokyo,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2010.html
2010_東京_ユニコーンＳ,2010,6/6（日）,ユニコーンＳ,Tokyo,,0.0,,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/052.html
2010_東京_東京ジャンプＳ,2010,6/12（土）,東京ジャンプＳ,Tokyo,,0.0,,3300,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/053.html
2010_東京_エプソムＣ,2010,6/13（日）,エプソムＣ,Tokyo,,0.0,Turf,1800,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/054.html
2010_京都_ＣＢＣ賞,2010,6/13（日）,ＣＢＣ賞,Kyoto,,0.0,Turf,1200,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/055.html
2010_阪神_マーメイドＳ,2010,6/20（日）,マーメイドＳ,Hanshin,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/056.html
2010_阪神_宝塚記念,2010,6/27（日）,Takarazuka Kinen,Hanshin,,0.0,Turf,2200,,,18,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2010.html
2010_福島_ラジオＮＩＫＫＥＩ賞,2010,7/4（日）,ラジオＮＩＫＫＥＩ賞,Fukushima,,0.0,Turf,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/057.html
2010_函館_函館スプリントＳ,2010,7/4（日）,函館スプリントＳ,Hakodate,,0.0,Turf,1200,,,15,https://www.jra.go.jp/datafile/seiseki/replay/2010/058.html
2010_福島_七夕賞,2010,7/11（日）,七夕賞,Fukushima,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/059.html
2010_阪神_プロキオンＳ,2010,7/11（日）,プロキオンＳ,Hanshin,,0.0,,1400,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/060.html
2010_新潟_アイビスサマーダッシュ,2010,7/18（日）,アイビスサマーダッシュ,Niigata,,0.0,Turf,1000,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/061.html
2010_小倉_小倉サマージャンプ,2010,7/24（土）,小倉サマージャンプ,Kokura,,0.0,,3390,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/062.html
2010_函館_函館記念,2010,7/25（日）,函館記念,Hakodate,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/063.html
2010_小倉_小倉記念,2010,8/1（日）,小倉記念,Kokura,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/064.html
2010_新潟_関屋記念,2010,8/8（日）,関屋記念,Niigata,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/065.html
2010_函館_函館２歳Ｓ,2010,8/8（日）,函館２歳Ｓ,Hakodate,,0.0,Turf,1200,,,13,https://www.jra.go.jp/datafile/seiseki/replay/2010/066.html
2010_小倉_北九州記念,2010,8/15（日）,北九州記念,Kokura,,0.0,Turf,1200,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/067.html
2010_札幌_クイーンＳ,2010,8/15（日）,クイーンＳ,Sapporo,,0.0,Turf,1800,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/068.html
2010_新潟_新潟ジャンプＳ,2010,8/21（土）,新潟ジャンプＳ,Niigata,,0.0,,3250,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/069.html
2010_新潟_レパードＳ,2010,8/22（日）,レパードＳ,Niigata,,0.0,,1800,,,13,https://www.jra.go.jp/datafile/seiseki/replay/2010/070.html
2010_札幌_札幌記念,2010,8/22（日）,札幌記念,Sapporo,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/071.html
